Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Bartoli et al., 2011",,2.16,,,221,mean,198,247,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),175,274,site 999A
"Bartoli et al., 2011",,2.17,,,383,mean,348,423,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),314,464,site 999A
"Bartoli et al., 2011",,2.20,,,386,mean,351,427,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),316,468,site 999A
"Bartoli et al., 2011",,2.30,,,238,mean,214,265,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),189,293,site 999A
"Bartoli et al., 2011",,2.50,,,367,mean,334,407,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),301,446,site 999A
"Bartoli et al., 2011",,2.56,,,310,mean,281,344,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),251,378,site 999A
"Bartoli et al., 2011",,2.60,,,203,mean,181,227,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),159,252,site 999A
"Bartoli et al., 2011",,2.69,,,194,mean,172,217,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),151,241,site 999A
"Bartoli et al., 2011",,2.70,,,358,mean,325,396,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),292,434,site 999A
"Bartoli et al., 2011",,2.71,,,314,mean,285,348,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),255,383,site 999A
"Bartoli et al., 2011",,2.71,,,238,mean,214,266,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),190,294,site 999A
"Bartoli et al., 2011",,2.71,,,334,mean,303,370,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),272,406,site 999A
"Bartoli et al., 2011",,2.75,,,300,mean,271,333,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),243,366,site 999A
"Bartoli et al., 2011",,2.77,,,404,mean,367,446,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),331,489,site 999A
"Bartoli et al., 2011",,2.78,,,418,mean,381,462,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),344,507,site 999A
"Bartoli et al., 2011",,2.78,,,316,mean,286,350,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),257,385,site 999A
"Bartoli et al., 2011",,2.80,,,314,mean,285,349,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),255,383,site 999A
"Bartoli et al., 2011",,2.92,,,241,mean,217,269,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),192,297,site 999A
"Bartoli et al., 2011",,3.00,,,354,mean,321,392,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),289,430,site 999A
"Bartoli et al., 2011",,3.07,,,265,mean,239,294,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),213,324,site 999A
"Bartoli et al., 2011",,3.08,,,411,mean,374,454,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),337,497,site 999A
"Bartoli et al., 2011",,3.10,,,249,mean,224,277,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),199,306,site 999A
"Bartoli et al., 2011",,3.16,,,233,mean,209,260,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),185,287,site 999A
"Bartoli et al., 2011",,3.22,,,242,mean,218,270,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),193,298,site 999A
"Bartoli et al., 2011",,3.24,,,330,mean,300,366,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),269,402,site 999A
"Bartoli et al., 2011",,3.26,,,252,mean,226,280,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),201,309,site 999A
"Bartoli et al., 2011",,3.32,,,274,mean,247,304,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),220,335,site 999A
"Bartoli et al., 2011",,3.40,,,255,mean,230,284,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),204,313,site 999A
"Bartoli et al., 2011",,3.41,,,251,mean,226,279,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),201,308,site 999A
"Bartoli et al., 2011",,3.47,,,292,mean,264,324,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),236,356,site 999A
"Bartoli et al., 2011",,3.54,,,329,mean,299,365,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),268,401,site 999A
"Bartoli et al., 2011",,3.59,,,282,mean,255,314,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),228,345,site 999A
"Bartoli et al., 2011",,3.72,,,310,mean,281,344,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),252,378,site 999A
"Bartoli et al., 2011",,3.79,,,288,mean,260,319,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),232,351,site 999A
"Bartoli et al., 2011",,3.87,,,408,mean,371,451,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),335,494,site 999A
"Bartoli et al., 2011",,3.96,,,295,mean,266,327,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),238,360,site 999A
"Bartoli et al., 2011",,4.04,,,334,mean,303,371,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),273,407,site 999A
"Bartoli et al., 2011",,4.12,,,394,mean,358,435,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),323,477,site 999A
"Bartoli et al., 2011",,4.58,,,425,mean,387,469,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),349,514,site 999A
"Foster et al., 2012",,12.28,,,190,mean,172,208,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),154,226,site 761B
"Foster et al., 2012",,12.72,,,223,mean,202,244,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),182,265,site 761B
"Foster et al., 2012",,13.25,,,244,mean,221,267,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),198,291,site 761B
"Foster et al., 2012",,13.48,,,243,mean,220,266,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),197,290,site 761B
"Foster et al., 2012",,13.72,,,240,mean,217,263,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),194,286,site 761B
"Foster et al., 2012",,13.83,,,257,mean,233,282,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),209,307,site 761B
"Foster et al., 2012",,14.17,,,268,mean,242,295,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),216,322,site 761B
"Foster et al., 2012",,14.31,,,272,mean,247,299,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),221,325,site 761B
"Foster et al., 2012",,14.80,,,374,mean,336,415,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),298,456,site 761B
"Foster et al., 2012",,15.04,,,332,mean,297,369,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),263,407,site 761B
"Foster et al., 2012",,15.56,,,298,mean,270,328,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),241,357,site 761B
"Foster et al., 2012",,15.87,,,392,mean,351,438,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),309,484,site 761B
"Foster et al., 2012",,16.38,,,225,mean,204,246,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),182,268,site 761B
"Foster et al., 2012",,11.80,,,247,mean,225,271,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),202,294,site 926A
"Foster et al., 2012",,13.60,,,232,mean,211,254,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),189,275,site 926A
"Foster et al., 2012",,14.94,,,346,mean,314,378,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),283,410,site 926A
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.70,,,250,mean,227,274,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),204,298, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.74,,,255,mean,231,279,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),208,303, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.74,,,230,mean,208,251,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),187,273, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.77,,,301,mean,273,329,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),244,356, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.79,,,283,mean,257,310,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),231,336, 
"Badger et al., 2013a",cyclostratigraphy and isotope stratigraphy,13.80,,,311,mean,282,340,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),253,369, 
"Greenop et al., 2014",,15.54,,,300,mean,254,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),208,413,site 761B
"Greenop et al., 2014",,15.60,,,442,mean,371,530,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),300,618,site 761B
"Greenop et al., 2014",,15.61,,,469,mean,394,562,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),319,656,site 761B
"Greenop et al., 2014",,15.63,,,330,mean,280,391,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),229,453,site 761B
"Greenop et al., 2014",,15.65,,,294,mean,248,350,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),202,406,site 761B
"Greenop et al., 2014",,15.69,,,287,mean,238,352,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),189,417,site 761B
"Greenop et al., 2014",,15.72,,,505,mean,401,682,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),296,858,site 761B
"Greenop et al., 2014",,15.76,,,291,mean,243,352,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),196,413,site 761B
"Greenop et al., 2014",,15.77,,,315,mean,261,384,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),207,452,site 761B
"Greenop et al., 2014",,15.81,,,520,mean,432,638,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),344,757,site 761B
"Greenop et al., 2014",,15.84,,,435,mean,364,527,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),292,619,site 761B
