Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"McElwain, 1998",Middle Jurassic,168.8,174.1,163.5,639,mean,426,852,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",426,852,stomatal ratio
"McElwain, 1998",Early Permian,285.6,298.9,272.3,354,mean,236,472,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",236,472,stomatal ratio
"McElwain, 1998",Westphalian B (Late Carboniferous),316.6,318.0,315.2,261,mean,174,348,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",174,348,stomatal ratio
"McElwain, 1998",Siegenian-Emsian (Early Devonian),400.5,407.6,393.3,2282,mean,1521,3042,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1521,3042,stomatal ratio
"McElwain et al., 1999",just after the T-J extinction,200.7,201.3,200.0,716,mean,477,954,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",477,954,stomatal ratio
"McElwain et al., 1999",during the T-J extinction,201.3,201.8,200.8,1535,mean,1023,2046,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1023,2046,stomatal ratio
"McElwain et al., 1999",just before the T-J extinction,201.6,201.8,201.3,702,mean,468,936,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",468,936,stomatal ratio
"Chen et al., 2001",Early Cretaceous (Valanginian-Hauterivian),135.1,139.4,130.8,1448,mean,965,1931,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",965,1931,stomatal ratio
"Chen et al., 2001",early Middle Jurassic,172.2,174.1,170.3,1894,mean,1263,2525,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1263,2525,stomatal ratio
"Chen et al., 2001",Early Jurassic,187.7,201.3,174.1,735,mean,490,980,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",490,980,stomatal ratio
"Kürschner et al., 2001",lower Middle Eocene,44.5,47.8,41.2,965,mean,643,1286,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",643,1286,stomatal ratio
"Royer et al., 2001b (updated by Beerling et al., 2009)","radiometric constraints (Reidel & Fecht, 1987)",15.2,16.7,13.7,339,median,318,559,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),309,705,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","radiometric constraints (Reidel & Fecht, 1987)",15.3,16.8,13.8,341,median,319,559,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),309,705,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","radiometric constraints (Reidel & Fecht, 1987)",15.3,16.8,13.8,313,median,308,480,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),306,591,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","radiometric constraints (Reidel & Fecht, 1987)",16.5,18.0,15.0,535,median,402,704,16 and 84 percentiles; uncertainty determined by Monte Carlo approach of Beerling et al. (2009),right skewed (mode < mean),402,704,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","1.8 Myrs after the PETM (Age Model 2 in Wing et al., 2000); LJH 9915",54.2,54.3,54.1,443,median,359,623,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),323,743,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","1.7 Myrs after the PETM (Age Model 2 in Wing et al., 2000); SLW H",54.3,54.4,54.2,327,median,318,416,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),314,475,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","1.3 Myrs after the PETM (Age Model 2 in Wing et al., 2000); SLW LB",54.7,54.8,54.6,378,median,343,579,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),328,713,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.4 Myrs after the PETM (Age Model 2 in Wing et al., 2000); SLW 9915",55.6,55.7,55.5,479,median,380,639,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),337,745,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.1 Myrs after the PETM (Age Model 2 in Wing et al., 2000); SLW 9812",55.9,58.9,52.9,667,median,475,748,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),393,802,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.1 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 8612",56.1,56.2,56.0,307,median,298,321,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),294,330,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.1 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 9936",56.1,56.2,56.0,307,median,298,321,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),294,330,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.1 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 9050",56.1,56.2,56.0,307,median,298,321,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),294,330,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.1 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 9715",56.1,56.2,56.0,520,median,400,673,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),348,775,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.2 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 9434",56.2,56.3,56.1,304,median,297,311,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),295,315,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.4 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 9411",56.4,56.5,56.3,313,median,304,320,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),301,325,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.5 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 9155",56.5,56.6,56.4,316,median,305,325,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),301,331,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.6 Myrs before the PETM (Age Model 2 in Wing et al., 2000); LJH 72141-1",56.6,56.7,56.5,320,median,309,335,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),305,345,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.7 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 993",56.7,56.9,56.5,315,median,306,323,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),302,328,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.7 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 992",56.7,56.9,56.5,318,median,307,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),302,334,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","0.7 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 991",56.7,56.9,56.5,318,median,307,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),302,334,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","1.2 Myrs before the PETM (Age Model 2 in Wing et al., 2000); LJH 7132",57.2,57.4,57.0,469,median,379,631,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),340,739,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","2.1 Myrs before the PETM (Age Model 2 in Wing et al., 2000); SLW 0025",58.1,58.4,57.8,447,median,367,623,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),333,741,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","middle Tiffanian (Ti-3) (Fox, 1990); Joffre Bridge site",59.9,60.8,59.0,535,median,416,680,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),365,777,stomatal index
"Royer et al., 2001b (updated by Beerling et al., 2009)","middle Tiffanian (Ti-3) (Fox, 1990); Burbank site",59.9,60.8,59.0,574,median,433,704,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),372,790,stomatal index
"Beerling, 2002",Kazanian,270.6,272.3,268.8,343,mean,240,566,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,310,376,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Kazanian,270.6,272.3,268.8,266,mean,186,439,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,237,295,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Kazanian,270.6,272.3,268.8,290,mean,203,479,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,259,321,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Kazanian,270.6,272.3,268.8,326,mean,228,538,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,294,358,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Kazanian,270.6,272.3,268.8,342,mean,239,564,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,309,375,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,348,mean,244,574,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,316,380,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,351,mean,246,579,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,319,383,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,336,mean,235,554,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,305,367,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,308,mean,216,508,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,277,339,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,350,mean,245,578,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,318,382,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,366,mean,256,604,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,333,399,stomatal index (fossil species not the same as the calibrated species)
"Beerling, 2002",Westphalian,313.5,319.0,308.0,368,mean,258,607,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,336,400,stomatal index (fossil species not the same as the calibrated species)
