Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Seki et al., 2010",,2.8,,,303,mean,276,331,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",276,331,site 999A
"Seki et al., 2010",,2.9,,,323,mean,294,352,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",294,352,site 999A
"Seki et al., 2010",,2.9,,,333,mean,303,363,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",303,363,site 999A
"Seki et al., 2010",,3.0,,,372,mean,338,405,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",338,405,site 999A
"Seki et al., 2010",,3.1,,,353,mean,321,385,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",321,385,site 999A
"Seki et al., 2010",,3.1,,,344,mean,313,375,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",313,375,site 999A
"Seki et al., 2010",,3.2,,,335,mean,305,365,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",305,365,site 999A
"Seki et al., 2010",,3.2,,,341,mean,310,372,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",310,372,site 999A
"Seki et al., 2010",,3.6,,,362,mean,329,395,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",329,395,site 999A
"Seki et al., 2010",,3.8,,,357,mean,325,389,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",325,389,site 999A
"Seki et al., 2010",,3.9,,,338,mean,307,368,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",307,368,site 999A
"Seki et al., 2010",,4.0,,,329,mean,300,359,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",300,359,site 999A
"Seki et al., 2010",,4.1,,,354,mean,322,385,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",322,385,site 999A
"Seki et al., 2010",,4.3,,,381,mean,348,414,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",348,414,site 999A
"Seki et al., 2010",,4.4,,,351,mean,320,382,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",320,382,site 999A
"Seki et al., 2010",,4.6,,,370,mean,337,402,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",337,402,site 999A
"Seki et al., 2010",,4.8,,,351,mean,320,382,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",320,382,site 999A
"Seki et al., 2010",,4.9,,,383,mean,350,417,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",350,417,site 999A
"Seki et al., 2010",,4.9,,,422,mean,385,459,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",385,459,site 999A
"Seki et al., 2010",,5.0,,,448,mean,409,488,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",409,488,site 999A
"Seki et al., 2010",,5.2,,,457,mean,417,497,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",417,497,site 999A
"Zhang et al., 2013",,0.02,,,318,mean,283,402,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),283,402,site 925C
"Zhang et al., 2013",,0.03,,,305,mean,273,384,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),273,384,site 925C
"Zhang et al., 2013",,0.03,,,322,mean,284,411,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),284,411,site 925C
"Zhang et al., 2013",,0.04,,,308,mean,268,400,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),268,400,site 925C
"Zhang et al., 2013",,0.06,,,312,mean,279,393,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),279,393,site 925C
"Zhang et al., 2013",,0.07,,,338,mean,304,422,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),304,422,site 925C
"Zhang et al., 2013",,0.09,,,334,mean,293,429,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),293,429,site 925C
"Zhang et al., 2013",,0.11,,,332,mean,290,429,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),290,429,site 925C
"Zhang et al., 2013",,0.11,,,336,mean,293,435,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),293,435,site 925C
"Zhang et al., 2013",,0.13,,,336,mean,305,418,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),305,418,site 925C
"Zhang et al., 2013",,0.15,,,315,mean,277,403,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),277,403,site 925C
"Zhang et al., 2013",,0.16,,,316,mean,286,395,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),286,395,site 925C
"Zhang et al., 2013",,0.17,,,330,mean,286,429,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),286,429,site 925C
"Zhang et al., 2013",,0.31,,,319,mean,275,418,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),275,418,site 925C
"Zhang et al., 2013",,0.43,,,285,mean,252,362,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),252,362,site 925C
"Zhang et al., 2013",,0.58,,,302,mean,261,393,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),261,393,site 925C
"Zhang et al., 2013",,0.93,,,291,mean,255,374,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),255,374,site 925C
"Zhang et al., 2013",,1.05,,,301,mean,261,393,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),261,393,site 925C
"Zhang et al., 2013",,1.19,,,322,mean,281,416,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),281,416,site 925C
"Zhang et al., 2013",,1.21,,,311,mean,263,414,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),263,414,site 925C
"Zhang et al., 2013",,1.22,,,317,mean,278,409,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),278,409,site 925C
"Zhang et al., 2013",,1.23,,,322,mean,278,422,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),278,422,site 925C
"Zhang et al., 2013",,1.25,,,291,mean,257,372,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),257,372,site 925C
"Zhang et al., 2013",,1.27,,,309,mean,257,416,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),257,416,site 925C
"Zhang et al., 2013",,1.28,,,298,mean,263,382,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),263,382,site 925C
"Zhang et al., 2013",,1.35,,,326,mean,276,434,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),276,434,site 925C
"Zhang et al., 2013",,1.64,,,298,mean,255,392,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),255,392,site 925C
"Zhang et al., 2013",,1.73,,,312,mean,271,405,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),271,405,site 925C
"Zhang et al., 2013",,1.97,,,309,mean,263,408,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),263,408,site 925C
"Zhang et al., 2013",,2.09,,,329,mean,275,442,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),275,442,site 925C
"Zhang et al., 2013",,2.19,,,331,mean,279,441,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),279,441,site 925D
"Zhang et al., 2013",,2.30,,,337,mean,285,450,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),285,450,site 925C
"Zhang et al., 2013",,2.40,,,344,mean,288,461,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),288,461,site 925D
"Zhang et al., 2013",,2.59,,,333,mean,280,446,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),280,446,site 925D
"Zhang et al., 2013",,2.60,,,305,mean,255,410,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),255,410,site 925C
"Zhang et al., 2013",,2.72,,,317,mean,266,424,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),266,424,site 925C
"Zhang et al., 2013",,2.94,,,307,mean,261,407,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),261,407,site 925C
"Zhang et al., 2013",,3.08,,,338,mean,290,444,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),290,444,site 925C
"Zhang et al., 2013",,3.13,,,318,mean,265,428,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),265,428,site 925D
"Zhang et al., 2013",,3.32,,,336,mean,291,437,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),291,437,site 925D
"Zhang et al., 2013",,3.36,,,321,mean,278,417,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),278,417,site 925C
"Zhang et al., 2013",,3.46,,,339,mean,299,434,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),299,434,site 925C
"Zhang et al., 2013",,3.51,,,393,mean,340,512,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),340,512,site 925A
"Zhang et al., 2013",,3.52,,,346,mean,303,445,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),303,445,site 925D
"Zhang et al., 2013",,3.67,,,346,mean,309,437,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),309,437,site 925C
"Zhang et al., 2013",,3.85,,,327,mean,291,414,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),291,414,site 925D
"Zhang et al., 2013",,3.99,,,334,mean,295,427,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),295,427,site 925C
"Zhang et al., 2013",,4.11,,,348,mean,307,445,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),307,445,site 925D
"Zhang et al., 2013",,4.45,,,379,mean,345,471,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),345,471,site 925C
"Zhang et al., 2013",,4.78,,,361,mean,332,443,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),332,443,site 925D
"Zhang et al., 2013",,7.15,,,379,mean,323,500,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),323,500,site 925A
"Zhang et al., 2013",,14.1,,,341,mean,311,421,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),311,421,site 925A
"Zhang et al., 2013",,14.74,,,430,mean,388,539,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),388,539,site 925A
"Zhang et al., 2013",,15.84,,,402,mean,375,486,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),375,486,site 925A
"Zhang et al., 2013",,16.82,,,401,mean,370,490,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),370,490,site 925A
"Zhang et al., 2013",,18.26,,,412,mean,384,499,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),384,499,site 925A
"Zhang et al., 2013",,20.3,,,358,mean,332,435,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),332,435,site 925A
"Zhang et al., 2013",,22.94,,,462,mean,430,560,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),430,560,site 925A
"Zhang et al., 2013",,23.48,,,410,mean,383,497,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),383,497,site 925A
"Zhang et al., 2013",,25.3,,,416,mean,386,506,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),386,506,site 925A
"Zhang et al., 2013",,26.57,,,656,mean,588,825,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),588,825,site 925A
"Zhang et al., 2013",,27.85,,,712,mean,626,914,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),626,914,site 925A
"Zhang et al., 2013",,28.78,,,730,mean,662,910,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),662,910,site 925A
"Zhang et al., 2013",,29.21,,,854,mean,792,1040,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),792,1040,site 925A
"Zhang et al., 2013",,29.57,,,972,mean,905,1179,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),905,1179,site 925A
"Zhang et al., 2013",,29.64,,,895,mean,818,1106,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),818,1106,site 925A
"Zhang et al., 2013",,30.62,,,765,mean,709,932,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),709,932,site 925A
"Zhang et al., 2013",,31.27,,,725,mean,664,894,"""low"" value determined from minimum ep and minimum present-day [PO4]- values, ""high"" value from maximum values, and best estimate from mean values; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),664,894,site 925A
